Date,AAPL,AMZN,GOOG,MSFT
1/19/16,24.165001,574.47998,701.789978,50.560001
1/20/16,24.1975,571.77002,698.450012,50.790001
1/21/16,24.075001,575.02002,706.590027,50.48
1/22/16,25.355,596.380005,725.25,52.290001
1/25/16,24.860001,596.530029,711.669983,51.790001
1/26/16,24.997499,601.25,713.039978,52.169998
1/27/16,23.355,583.349976,699.98999,51.220001
1/28/16,23.522499,635.349976,730.960022,52.060001
1/29/16,24.334999,587,742.950012,55.09
2/1/16,24.1075,574.809998,752,54.709999
2/2/16,23.620001,552.099976,764.650024,53
2/3/16,24.0875,531.070007,726.950012,52.16
2/4/16,24.15,536.26001,708.01001,52
2/5/16,23.504999,502.130005,683.570007,50.16
2/8/16,23.752501,488.100006,682.73999,49.41
2/9/16,23.747499,482.070007,678.109985,49.279999
2/10/16,23.567499,490.480011,684.119995,49.709999
2/11/16,23.424999,503.820007,683.109985,49.689999
2/12/16,23.497499,507.079987,682.400024,50.5
2/16/16,24.16,521.099976,691,51.09
2/17/16,24.530001,534.099976,708.400024,52.419998
2/18/16,24.065001,525,697.349976,52.189999
2/19/16,24.01,534.900024,700.909973,51.82
2/22/16,24.219999,559.5,706.460022,52.650002
2/23/16,23.672501,552.940002,695.849976,51.18
2/24/16,24.025,554.039978,699.559998,51.360001
2/25/16,24.190001,555.150024,705.75,52.099998
2/26/16,24.227501,555.22998,705.070007,51.299999
2/29/16,24.172501,552.52002,697.77002,50.880001
3/1/16,25.1325,579.039978,718.809998,52.580002
3/2/16,25.1875,580.210022,718.849976,52.950001
3/3/16,25.375,577.48999,712.419983,52.349998
3/4/16,25.752501,575.140015,710.890015,52.029999
3/7/16,25.467501,562.799988,695.159973,51.029999
3/8/16,25.2575,560.26001,693.969971,51.650002
3/9/16,25.280001,559.469971,705.23999,52.84
3/10/16,25.2925,558.929993,712.820007,52.049999
3/11/16,25.565001,569.609985,726.820007,53.07
3/14/16,25.629999,573.369995,730.48999,53.169998
3/15/16,26.145,577.02002,728.330017,53.59
3/16/16,26.4925,574.27002,736.090027,54.349998
3/17/16,26.450001,559.440002,737.780029,54.66
3/18/16,26.48,552.080017,737.599976,53.490002
3/21/16,26.477501,553.97998,742.090027,53.860001
3/22/16,26.68,560.47998,740.75,54.07
3/23/16,26.532499,569.630005,738.059998,53.970001
3/24/16,26.4175,582.950012,735.299988,54.209999
3/28/16,26.297501,579.869995,733.530029,53.540001
3/29/16,26.92,593.859985,744.77002,54.709999
3/30/16,27.389999,598.690002,750.530029,55.049999
3/31/16,27.247499,593.640015,744.950012,55.23
4/1/16,27.497499,598.5,749.909973,55.57
4/4/16,27.780001,593.190002,745.289978,55.43
4/5/16,27.452499,586.140015,737.799988,54.560001
4/6/16,27.74,602.080017,745.690002,55.119999
4/7/16,27.135,591.429993,740.280029,54.459999
4/8/16,27.165001,594.599976,739.150024,54.419998
4/11/16,27.254999,595.929993,736.099976,54.310001
4/12/16,27.610001,603.169983,743.090027,54.650002
4/13/16,28.01,614.820007,751.719971,55.349998
4/14/16,28.025,620.75,753.200012,55.360001
4/15/16,27.4625,625.890015,759,55.650002
4/18/16,26.870001,635.349976,766.609985,56.459999
4/19/16,26.727501,627.900024,753.929993,56.389999
4/20/16,26.782499,632.98999,752.669983,55.59
4/21/16,26.4925,631,759.140015,55.779999
4/22/16,26.42,620.5,718.77002,51.779999
4/25/16,26.27,626.200012,723.150024,52.110001
4/26/16,26.0875,616.880005,708.140015,51.439999
4/27/16,24.455,606.570007,705.840027,50.939999
4/28/16,23.7075,602,691.02002,49.900002
4/29/16,23.434999,659.590027,693.01001,49.869999
5/2/16,23.41,683.849976,698.210022,50.610001
5/3/16,23.795,671.320007,692.359985,49.779999
5/4/16,23.547501,670.900024,695.700012,49.869999
5/5/16,23.309999,659.090027,701.429993,49.939999
5/6/16,23.18,673.950012,711.119995,50.389999
5/9/16,23.1975,679.75,712.900024,50.07
5/10/16,23.355,703.070007,723.179993,51.02
5/11/16,23.127501,713.22998,715.289978,51.049999
5/12/16,22.584999,717.929993,713.309998,51.509998
5/13/16,22.629999,709.919983,710.830017,51.080002
5/16/16,23.469999,710.659973,716.48999,51.830002
5/17/16,23.372499,695.27002,706.22998,50.509998
5/18/16,23.639999,697.450012,706.630005,50.810001
5/19/16,23.549999,698.52002,700.320007,50.32
5/20/16,23.805,702.799988,709.73999,50.619999
5/23/16,24.1075,696.75,704.23999,50.029999
5/24/16,24.475,704.200012,720.090027,51.59
5/25/16,24.905001,708.349976,725.27002,52.119999
5/26/16,25.102501,714.909973,724.119995,51.889999
5/27/16,25.0875,712.23999,732.659973,52.32
5/31/16,24.965,722.789978,735.719971,53
6/1/16,24.615,719.440002,734.150024,52.849998
6/2/16,24.43,728.23999,730.400024,52.48
6/3/16,24.48,725.539978,722.340027,51.790001
6/6/16,24.657499,726.72998,716.549988,52.130001
6/7/16,24.7575,723.73999,716.650024,52.099998
6/8/16,24.735001,726.640015,728.280029,52.040001
6/9/16,24.9125,727.650024,728.580017,51.619999
6/10/16,24.7075,717.909973,719.409973,51.48
6/13/16,24.334999,715.23999,718.359985,50.139999
6/14/16,24.365,719.299988,718.27002,49.830002
6/15/16,24.285,714.26001,718.919983,49.689999
6/16/16,24.387501,717.51001,710.359985,50.389999
6/17/16,23.8325,706.390015,691.719971,50.130001
6/20/16,23.775,714.01001,693.710022,50.07
6/21/16,23.977501,715.820007,695.940002,51.189999
6/22/16,23.887501,710.599976,697.460022,50.990002
6/23/16,24.025,722.080017,701.869995,51.91
6/24/16,23.35,698.960022,675.219971,49.830002
6/27/16,23.01,691.359985,668.26001,48.43
6/28/16,23.397499,707.950012,680.039978,49.439999
6/29/16,23.6,715.599976,684.109985,50.540001
6/30/16,23.9,715.619995,692.099976,51.169998
7/1/16,23.9725,725.679993,699.210022,51.16
7/5/16,23.747499,728.099976,694.950012,51.169998
7/6/16,23.8825,737.609985,697.77002,51.380001
7/7/16,23.985001,736.570007,695.359985,51.380001
7/8/16,24.17,745.809998,705.630005,52.299999
7/11/16,24.245001,753.780029,715.090027,52.59
7/12/16,24.355,748.210022,720.640015,53.209999
7/13/16,24.217501,742.630005,716.97998,53.509998
7/14/16,24.6975,741.200012,720.950012,53.740002
7/15/16,24.695,735.440002,719.849976,53.700001
7/18/16,24.9575,736.070007,733.780029,53.959999
7/19/16,24.967501,739.950012,736.960022,53.09
7/20/16,24.99,745.719971,741.190002,55.91
7/21/16,24.8575,744.429993,738.630005,55.799999
7/22/16,24.665001,744.859985,742.73999,56.57
7/25/16,24.334999,739.609985,739.77002,56.73
7/26/16,24.1675,735.590027,738.419983,56.759998
7/27/16,25.737499,736.669983,741.77002,56.189999
7/28/16,26.084999,752.609985,745.909973,56.209999
7/29/16,26.0525,758.809998,768.789978,56.68
8/1/16,26.512501,767.73999,772.880005,56.580002
8/2/16,26.120001,760.580017,771.070007,56.580002
8/3/16,26.4475,754.640015,773.179993,56.970001
8/4/16,26.467501,760.77002,771.609985,57.389999
8/5/16,26.870001,765.97998,782.219971,57.959999
8/8/16,27.092501,766.559998,781.76001,58.060001
8/9/16,27.202499,768.309998,784.26001,58.200001
8/10/16,27,768.559998,784.679993,58.02
8/11/16,26.9825,771.23999,784.849976,58.299999
8/12/16,27.045,772.559998,783.219971,57.939999
8/15/16,27.370001,768.48999,782.440002,58.119999
8/16/16,27.344999,764.039978,777.140015,57.439999
8/17/16,27.305,764.630005,779.909973,57.560001
8/18/16,27.27,764.460022,777.5,57.599998
8/19/16,27.34,757.309998,775.419983,57.619999
8/22/16,27.127501,759.47998,772.150024,57.669998
8/23/16,27.2125,762.450012,772.080017,57.889999
8/24/16,27.0075,757.25,769.640015,57.950001
8/25/16,26.8925,759.219971,769.409973,58.169998
8/26/16,26.735001,769,769.539978,58.029999
8/29/16,26.705,771.289978,772.150024,58.099998
8/30/16,26.5,767.580017,769.090027,57.889999
8/31/16,26.525,769.159973,767.049988,57.459999
9/1/16,26.682501,770.619995,768.780029,57.59
9/2/16,26.932501,772.440002,771.460022,57.669998
9/6/16,26.924999,788.869995,780.080017,57.610001
9/7/16,27.09,784.47998,780.349976,57.66
9/8/16,26.379999,784.059998,775.320007,57.43
9/9/16,25.782499,760.140015,759.659973,56.209999
9/12/16,26.360001,771.48999,769.02002,57.049999
9/13/16,26.987499,761.01001,759.690002,56.529999
9/14/16,27.942499,761.090027,762.48999,56.259998
9/15/16,28.8925,769.690002,771.76001,57.189999
9/16/16,28.73,778.52002,768.880005,57.25
9/19/16,28.395,775.099976,765.700012,56.93
9/20/16,28.3925,780.219971,771.409973,56.810001
9/21/16,28.387501,789.73999,776.219971,57.759998
9/22/16,28.655001,804.700012,787.210022,57.82
9/23/16,28.1775,805.75,786.900024,57.43
9/26/16,28.219999,799.159973,774.210022,56.900002
